,Hotel Name,Address,Rating (5),Price (2)
128,Mathsya,MA South Chennai,4.2,800
129,New Desi Tadka,"TK Nagar, West Chennai",4.0,800
130,Vintage Bank,"BH Chennai,Guindy, South Chennai",4.3,3200
131,Cinnamon House,HN Central Chennai,4.2,500
132,Alchemy Bar & Lounge,"LH Raj Park,Alwarpet, Central Chennai",4.3,2200
133,Amaravathi,AM Central Chennai,4.3,800
134,The Quintessence,"QH Raj Park,Alwarpet, Central Chennai",4.0,1200
135,English Tavern,TA Central Chennai,4.0,1500
136,Barbeque Nation,"NA Skywalk Mall,Aminjikarai, North Chennai",4.2,1800
137,Writer's Cafe,CG Central Chennai,4.2,800
138,Vasco's,"VH Chennai,Guindy, South Chennai",4.0,3000
139,Waf Bites,"BK Nagar, West Chennai",4.3,300
140,The Fruit Bowl Co.,CR Central Chennai,5.0,500
141,Ayna,"AH Chennai,Guindy, South Chennai",4.1,3000
142,E,"ES Chennai,Guindy, South Chennai",4.0,1500
143,Spice It,"II Chennai City Centre,Thousand Lights, Central Chennai",4.1,1500
144,Brasa,"BR Blu City Centre,Egmore, North Chennai",4.9,1800
145,Kaidi Kitchen,KM Central Chennai,4.2,1000
146,Mearth Cafe,"CR Puram, Central Chennai",4.3,800
147,Haji Ali Juice Centre,CC Central Chennai,4.3,500
148,Bombay Brasserie,BN Central Chennai,4.3,1200
149,The Marina,MN Central Chennai,4.4,800
150,Waf Bites,BI West Chennai,4.3,300
151,The Great Kabab Factory,"FR Blu City Centre,Egmore, North Chennai",4.2,4325
152,The Pedreno's,PM Central Chennai,4.2,1900
153,Brownie Heaven,HR Central Chennai,4.1,800
154,Abid's,AC Central Chennai,4.4,800
155,Rolls on Wheels,WK North Chennai,5.0,300
156,Lyfe by Soul Garden Bistro,BK North Chennai,4.2,800
157,The Patiala House,HC Central Chennai,4.3,600
158,The Fat Boy,"BS Nagar, West Chennai",4.7,1100
159,Gully Baar,BK North Chennai,4.3,1700
160,Pizza Hut - 1,"17 Towers,Mylapore, Central Chennai",4.5,800
161,Pizza Avenue,AE North Chennai,4.8,700
162,Writer's Cafe,CE North Chennai,4.4,800
163,The Greenhouse Barbecue,"BH Blue Diamond,Kilpauk, North Chennai",4.3,1600
164,The Verandah,"VT Connemara,Anna Salai, Central Chennai",4.6,1800
165,Dindigul Thalappakatti,TG South Chennai,4.2,700
166,La Chocolate,CE North Chennai,4.3,700
167,Olives,"OR Central Deccan,Royapettah, Central Chennai",4.1,900
168,Jonah's Bistro,"BE Avenue Mall,Royapettah, Central Chennai",4.4,1400
169,The Board Room,RM Central Chennai,4.2,500
170,Cafe Treat,"TT Pride Hotel,Kilpauk, North Chennai",4.2,1200
171,Delhi Highway,HE North Chennai,4.1,1300
172,Brownie Heaven,HE North Chennai,4.0,800
173,B,"BL CH3MISTRYValasaravakkam, West Chennai",4.1,1300
174,Kailash Parbat,PA South Chennai,4.2,800
175,Azzuri Bay,BA South Chennai,4.2,1800
176,Libarrel,LM Central Chennai,4.2,2200
177,Waf Bites,BA South Chennai,4.7,300
178,Punjab Grill,"GE Avenue Mall,Royapettah, Central Chennai",4.0,2000
179,27 Culinary Street,SM Central Chennai,4.0,1400
180,Mamagoto,"ME Avenue Mall,Royapettah, Central Chennai",4.0,1500
181,Chai Waale,WK North Chennai,5.0,200
182,Chai Waale,WE North Chennai,4.0,200
183,Pizza Hut - 1,"17 Avenue Mall,Royapettah, Central Chennai",4.0,800
184,Taco Bell,"BE Avenue Mall,Royapettah, Central Chennai",4.0,500
185,Spice Trail,TE North Chennai,4.0,1000
186,Murugan Idli Shop,"SA Nagar, North Chennai",4.4,300
187,Lyfe by Soul Garden Bistro,"BE Avenue Mall,Royapettah, Central Chennai",4.0,800
188,The Living Room,"RA Nagar, North Chennai",4.3,2400
189,Brownie Heaven,HA South Chennai,4.7,800
190,Double Roti,"RA Nagar, North Chennai",4.4,1000
191,Silver Spoon,"SA Nagar, North Chennai",4.2,1000
192,Palmshore,PE North Chennai,4.1,1000
193,Asian Station,"SA Nagar, North Chennai",4.1,1900
194,Fuel Juice And Pasta Bar,BK North Chennai,4.4,500
195,That Waffle Place,PR Central Chennai,4.1,300
196,Creamy Inn,"IA Nagar, North Chennai",4.3,300
197,Superstar Pizza,PE North Chennai,4.2,800
198,Writer's Cafe,CA South Chennai,4.5,800
199,Convo @ C,C2 South Chennai,4.4,900
200,Prive Restaurant,"RV Hotel,Kilpauk, North Chennai",4.3,1200
201,Prems Graama Bhojanam,BA South Chennai,4.6,300
202,Mozza,"MA Nagar, North Chennai",4.3,1200
203,Southern Chinese,"CA Nagar, North Chennai",4.2,800
204,Little North,NK North Chennai,4.0,800
205,Bombay Brasserie,"BV 77,Adyar, South Chennai",4.3,1400
206,The Cascade,"CR Tower,Anna Nagar, North Chennai",4.2,800
207,Ente Keralam,"KA Nagar, North Chennai",4.3,800
208,The Scoop Bar,"BA Nagar, North Chennai",4.1,600
209,Little Italy,"IA Nagar, North Chennai",4.5,1500
210,Dindigul Thalappakatti,"TA Nagar, North Chennai",4.0,700
211,Desi Street,SA Central Chennai,4.1,1000
212,Chai Waale,"WV Plaza,Anna Nagar, North Chennai",5.0,200
213,Ravi Mehra's Delhi Hotel,HK North Chennai,4.4,1000
214,Dindigul Thalappakatti,"TA Nagar, North Chennai",4.2,700
215,Savoury Sea Shell,"SA Nagar, North Chennai",4.2,1000
216,Murugan Idli Shop,SK North Chennai,4.0,300
217,Dindigul Thalappakatti,"TV Towers,Triplicane, North Chennai",4.7,700
218,Slounge,"SL Tree Hotel Shimona,Manapakkam, West Chennai",4.2,1200
219,Juice Forest,"FA Nagar, North Chennai",4.0,300
220,Cafe Arabica,"AA Nagar, North Chennai",4.2,1000
221,Cold Stone Creamery,"CA Nagar, North Chennai",5.0,400
222,Champions Bar,"BM Inn,Egmore, North Chennai",4.0,1000
223,Bronx,"BH Manhattan,Mylapore, Central Chennai",5.0,1100
224,Toscano,"TV Mall,Anna Nagar, North Chennai",4.4,300
225,Taco Bell,"BV Mall,Anna Nagar, North Chennai",4.3,500
226,Monkey Bar,"BA Nagar, North Chennai",4.4,2000
227,Skyloft,"SF - A Radha Hotel,Manapakkam, West Chennai",4.4,1500
228,Dindigul Thalappakatti,TR West Chennai,4.0,700
229,Millet Maagic Meal,"MA Nagar, North Chennai",4.6,300
230,Writer's Cafe,"CV Mall,Anna Nagar, North Chennai",4.4,800
231,Brownie Heaven,"HV Mall,Anna Nagar, North Chennai",4.2,800
232,Cream Centre,"CA Nagar, North Chennai",4.5,1600
233,Little Italy,"IB Nagar, South Chennai",4.4,1500
234,Roll Over,"OS Thomas Mount, West Chennai",4.1,400
235,Subway,"SV Mall,Anna Nagar, North Chennai",4.0,500
236,Pizza Hut,HA South Chennai,4.0,800
237,Frozen Bottle,BV South West Chennai,4.0,400
238,Pizza Hut - 1,"17 Nagar, North Chennai",4.0,800
239,The Cake Shop,"ST Leela Palace,MRC Nagar, Central Chennai",4.8,1000
240,Cream & Fudge,FS Central Chennai,4.3,400
241,Copper Chimney,"CP Market City,Velachery, South West Chennai",4.2,1500
242,Patissez,"PP Market City,Velachery, South West Chennai",4.2,1300
243,Superstar Pizza,"PA Nagar, North Chennai",4.3,800
244,Waves,"WR Chennai Egmore,Egmore, North Chennai",4.2,2100
245,Lobby Lounge,"LT Leela Palace,MRC Nagar, Central Chennai",4.0,2000
246,China X,"XO Leela Palace,MRC Nagar, Central Chennai",4.3,3000
247,Ayur Square Veg Restaurant,RV South West Chennai,4.8,1000
248,Palmshore,PR West Chennai,4.3,1000
249,Haven Sampoorna,SV South West Chennai,4.3,1200
250,Jamavar,"JT Leela Palace,MRC Nagar, Central Chennai",4.2,3000
251,Wow! Momo,MA West Chennai,5.0,400
252,Punjab Grill,"GP Market City,Velachery, South West Chennai",4.2,2000
253,Chili’s American Grill and Bar,"BP Market City,Velachery, South West Chennai",4.1,1500
254,Spectra,"ST Leela Palace,MRC Nagar, Central Chennai",4.2,2900
255,6th Avenue Restobar,"RA Nagar, North Chennai",4.0,1200
256,Library Blu,"BT Leela Palace,MRC Nagar, Central Chennai",4.2,2300
257,Khandani Rajdhani,"RP Market City,Velachery, South West Chennai",4.0,1200
258,Message In A Bottle,BE North Chennai,4.1,1600
259,The Mist,"MA Nagar, North Chennai",4.2,1000
260,MKC - Madras Kitchen Company,"CT Westin Chennai,Velachery, South West Chennai",4.2,1400
261,Seasonal Tastes,"TT Westin Chennai,Velachery, South West Chennai",4.2,3600
262,That Waffle Place,"PA Nagar, North Chennai",4.2,300
263,Mainland China,"CA Nagar, North Chennai",4.2,1200
264,Urban Spatula,"SA Nagar, North Chennai",4.2,900
265,Sunset Grill,"GT Westin Chennai,Velachery, South West Chennai",4.1,2500
266,Willows,"WT Westin Chennai,Velachery, South West Chennai",4.1,2500
267,Top Roof Restaurant,RM West Chennai,4.0,500
268,Dindigul Thalappakatti,"TD IT Park,Ramapuram, West Chennai",4.5,700
269,Cook Gramam,"GA Nagar, North Chennai",4.3,500
270,Chennai Kulfi,"KA Nagar, North Chennai",4.6,200
271,The Ma,"MM ShopAdyar, South Chennai",4.7,600
272,Buttons Cupcakes,"CB Nagar, South Chennai",5.0,300
273,The Tickle Truck,"TB Nagar, South Chennai",4.6,200
274,A,"AB - Absolute BarbecuesVelachery, South West Chennai",4.3,1600
275,Shout Bar & Cafe,CR West Chennai,4.0,1400
276,Hotel Saravana Bhavan,BP West Chennai,4.2,600
