,Hotel Name,Address,Rating (5),Price (2)
163,Cinnamon House,HN Central Chennai,4.2,500
164,The Kati Roll Shop,SG Central Chennai,3.3,700
165,Alchemy Bar & Lounge,"LH Raj Park,Alwarpet, Central Chennai",4.3,2200
166,Amaravathi,AM Central Chennai,4.3,800
167,The Quintessence,"QH Raj Park,Alwarpet, Central Chennai",4.0,1200
168,English Tavern,TA Central Chennai,4.0,1500
169,Barbeque Nation,"NA Skywalk Mall,Aminjikarai, North Chennai",4.2,1800
170,Havmor Havfunn,HA Central Chennai,3.9,300
171,Writer's Cafe,CG Central Chennai,4.2,800
172,The Dining Room,"RP Hyatt,Guindy, South Chennai",3.8,3000
173,Vasco's,"VH Chennai,Guindy, South Chennai",4.0,3000
174,The Chamiers Deli Shop,"SN Chennai,Nandanam, Central Chennai",1.7,800
175,Waf Bites,"BK Nagar, West Chennai",4.3,300
176,The Fruit Bowl Co.,CR Central Chennai,5.0,500
177,Ayna,"AH Chennai,Guindy, South Chennai",4.1,3000
178,Palm Jumeira,"JT Lights, Central Chennai",3.8,800
179,Royal Sandwich,SA Central Chennai,2.7,300
180,Ashvita Bistro,BA Central Chennai,3.1,1200
181,E,"ES Chennai,Guindy, South Chennai",4.0,1500
182,Spice It,"II Chennai City Centre,Thousand Lights, Central Chennai",4.1,1500
183,Subway,SN Central Chennai,3.0,500
184,Brasa,"BR Blu City Centre,Egmore, North Chennai",4.9,1800
185,Barracuda Brew,BN Central Chennai,3.9,2900
186,Kaidi Kitchen,KM Central Chennai,4.2,1000
187,Q Bar,"BH Chennai,Guindy, South Chennai",3.9,3500
188,Cake Waves,WA West Chennai,3.0,500
189,Mearth Cafe,"CR Puram, Central Chennai",4.3,800
190,Out of the Bottle,BG Central Chennai,2.6,400
191,The Buffet Square,"SR Plaza,Guindy, South Chennai",3.1,3500
192,Level Up,"UA Skywalk Mall,Aminjikarai, North Chennai",3.6,2500
193,Haji Ali Juice Centre,CC Central Chennai,4.3,500
194,Cream En Creamy,CS West Chennai,2.4,500
195,Bombay Brasserie,BN Central Chennai,4.3,1200
196,Sri Akshayaas,AA North Chennai,2.9,500
197,The Marina,MN Central Chennai,4.4,800
198,Navrang,NR Central Chennai,3.8,600
199,Sweetsoul Buddha Bowls,"BH Raj Park,Alwarpet, Central Chennai",3.3,1000
200,Waf Bites,BI West Chennai,4.3,300
201,The Great Kabab Factory,"FR Blu City Centre,Egmore, North Chennai",4.2,4325
202,The Pedreno's,PM Central Chennai,4.2,1900
203,Brownie Heaven,HR Central Chennai,4.1,800
204,Abid's,AC Central Chennai,4.4,800
205,Rolls on Wheels,WK North Chennai,5.0,300
206,Lyfe by Soul Garden Bistro,BK North Chennai,4.2,800
207,The Patiala House,HC Central Chennai,4.3,600
208,The Fat Boy,"BS Nagar, West Chennai",4.7,1100
209,Gully Baar,BK North Chennai,4.3,1700
210,Pizza Hut - 1,"17 Towers,Mylapore, Central Chennai",4.5,800
211,Thaligai,TM Central Chennai,3.8,700
212,Murugan Idli Shop,"ST Nagar, Central Chennai",0.0,300
213,Pizza Avenue,AE North Chennai,4.8,700
214,Writer's Cafe,CE North Chennai,4.4,800
215,The Greenhouse Barbecue,"BH Blue Diamond,Kilpauk, North Chennai",4.3,1600
216,The Verandah,"VT Connemara,Anna Salai, Central Chennai",4.6,1800
217,Dindigul Thalappakatti,TG South Chennai,4.2,700
218,La Chocolate,CE North Chennai,4.3,700
219,Kaaraikudi,KM Central Chennai,3.5,700
220,Olives,"OR Central Deccan,Royapettah, Central Chennai",4.1,900
221,The Spice,"SH Hotel,Guindy, South Chennai",3.9,2000
222,Jonah's Bistro,"BE Avenue Mall,Royapettah, Central Chennai",4.4,1400
223,The Board Room,RM Central Chennai,4.2,500
224,Cafe Treat,"TT Pride Hotel,Kilpauk, North Chennai",4.2,1200
225,Delhi Highway,HE North Chennai,4.1,1300
226,Kaaraikudi,"KE Avenue Mall,Royapettah, Central Chennai",3.5,800
227,Brownie Heaven,HE North Chennai,4.0,800
228,B,"BL CH3MISTRYValasaravakkam, West Chennai",4.1,1300
229,Havmor Havfunn,"HS Building,Egmore, North Chennai",3.1,300
230,The Moon and Sixpence,"SH Hotel,Guindy, South Chennai",3.8,2500
231,Kailash Parbat,PA South Chennai,4.2,800
232,Azzuri Bay,BA South Chennai,4.2,1800
233,Libarrel,LM Central Chennai,4.2,2200
234,Juice Forest,FM Central Chennai,3.5,300
235,Waf Bites,BA South Chennai,4.7,300
236,Punjab Grill,"GE Avenue Mall,Royapettah, Central Chennai",4.0,2000
237,27 Culinary Street,SM Central Chennai,4.0,1400
238,Mamagoto,"ME Avenue Mall,Royapettah, Central Chennai",4.0,1500
239,Chai Waale,WK North Chennai,5.0,200
240,Chai Waale,WE North Chennai,4.0,200
241,Pizza Hut - 1,"17 Avenue Mall,Royapettah, Central Chennai",4.0,800
242,Taco Bell,"BE Avenue Mall,Royapettah, Central Chennai",4.0,500
243,Spice Trail,TE North Chennai,4.0,1000
244,Murugan Idli Shop,"SA Nagar, North Chennai",4.4,300
245,Creamy Inn,"IS square,Chetpet, Central Chennai",2.0,300
246,Lyfe by Soul Garden Bistro,"BE Avenue Mall,Royapettah, Central Chennai",4.0,800
247,The Living Room,"RA Nagar, North Chennai",4.3,2400
248,Lava Bar - Metro Grand Hotel,"HM Grand Hotel,Arumbakkam, West Chennai",3.9,1500
